candidate,party,constituency,votes,result,sex,province,district
Shushila Pulami,Independent,Rupandehi-2,10,Declared,♀ Female,Lumbini Province,Rupandehi
Basanta Kumar Yadav,Independent,Rupandehi-5,10,Declared,♂ Male,Lumbini Province,Rupandehi
Sakil Ahmad Khan,Independent,Rupandehi-5,10,Declared,♂ Male,Lumbini Province,Rupandehi
Ashok Kumar Yadav,Janata Loktantrik Party Nepal,Kapilvastu-3,10,Declared,♂ Male,Lumbini Province,Kapilvastu
Nurul Kamar Kha,Independent,Kapilvastu-3,10,Declared,♂ Male,Lumbini Province,Kapilvastu
Balji Prasad Yadav,Independent,Kapilvastu-3,10,Declared,♂ Male,Lumbini Province,Kapilvastu
Santosh Singh,Miteri Party Nepal,Dang-3,10,Declared,♂ Male,Lumbini Province,Dang
Indra Bahadur Basnet,Independent,Dang-3,10,Declared,♂ Male,Lumbini Province,Dang
Surendra Shahi,Nepal Workers and Peasants Party,Achham-1,10,Declared,♂ Male,Sudurpashchim Province,Achham
Gopichandra Harijan,Independent,Parasi-1,10,Declared,♂ Male,Lumbini Province,Parasi
Rajendra Prasada Yadav,Independent,Parasi-2,10,Declared,♂ Male,Lumbini Province,Parasi
Suresha Teli,Independent,Parasi-2,10,Declared,♂ Male,Lumbini Province,Parasi
Om Krishna Udas,Independent,Sunsari-1,9,Declared,♂ Male,Koshi Province,Sunsari
Shridhvaja Tamangg,Miteri Party Nepal,Solukhumbu-1,9,Declared,♂ Male,Koshi Province,Solukhumbu
Lekhnath Kumar Thakur,Independent,Saptari-1,9,Declared,♂ Male,Madhesh Province,Saptari
Prem Kumar Yadav,Independent,Saptari-2,9,Declared,♂ Male,Madhesh Province,Saptari
Shushila Kumari Sah,Independent,Saptari-2,9,Declared,♀ Female,Madhesh Province,Saptari
Prem Kumari Mahara,Independent,Saptari-4,9,Declared,♀ Female,Madhesh Province,Saptari
Dinesh Pasman,Independent,Siraha-1,9,Declared,♂ Male,Madhesh Province,Siraha
Ram Chandar Yadav,Independent,Siraha-1,9,Declared,♂ Male,Madhesh Province,Siraha
Usha Kumari Yadav,Independent,Siraha-2,9,Declared,♀ Female,Madhesh Province,Siraha
Yogendra Prasad Mahara,Independent,Siraha-4,9,Declared,♂ Male,Madhesh Province,Siraha
Ramila Sarki,Independent,Dolakha-1,9,Declared,♀ Female,Bagmati Province,Dolakha
Ajaya Kumara Marik,Independent,Dhanusha-2,9,Declared,♂ Male,Madhesh Province,Dhanusha
Lala Babu Mandal,Independent,Dhanusha-2,9,Declared,♂ Male,Madhesh Province,Dhanusha
Santosha Kumara Yadava Marik,Independent,Dhanusha-2,9,Declared,♂ Male,Madhesh Province,Dhanusha
Nabonatha Thakur,Independent,Dhanusha-3,9,Declared,♂ Male,Madhesh Province,Dhanusha
Jagesh‍vara Mahato Koiri,Independent,Dhanusha-4,9,Declared,♂ Male,Madhesh Province,Dhanusha
Sachin Mahato,Independent,Mahottari-1,9,Declared,♂ Male,Madhesh Province,Mahottari
Ranchandra Pasman,Independent,Mahottari-3,9,Declared,♂ Male,Madhesh Province,Mahottari
Sumitra Kumari,Mongol National Organisation,Mahottari-4,9,Declared,♀ Female,Madhesh Province,Mahottari
Baiju Sah,Independent,Sarlahi-3,9,Declared,♂ Male,Madhesh Province,Sarlahi
Ram Prit Mahara,Independent,Sarlahi-3,9,Declared,♂ Male,Madhesh Province,Sarlahi
Kamlesh Mandal,Independent,Sarlahi-4,9,Declared,♂ Male,Madhesh Province,Sarlahi
Prem Kumar Rai,Miteri Party Nepal,Kathmandu-4,9,Declared,♂ Male,Bagmati Province,Kathmandu
Devaraj Paudel,Independent,Kathmandu-4,9,Declared,♂ Male,Bagmati Province,Kathmandu
Madan Dev Acharya,Independent,Kathmandu-4,9,Declared,♂ Male,Bagmati Province,Kathmandu
Babu Ram Lama,Janata Samajwadi Party Nepal,Kathmandu-7,9,Declared,♂ Male,Bagmati Province,Kathmandu
Dirgha Kumar Shrestha,Rastriya Janamorcha,Kathmandu-7,9,Declared,♂ Male,Bagmati Province,Kathmandu
Saroj Raj Baidhya,Janata Samajwadi Party Nepal,Kathmandu-8,9,Declared,♂ Male,Bagmati Province,Kathmandu
Shushila Nepali,Independent,Kathmandu-8,9,Declared,♀ Female,Bagmati Province,Kathmandu
Anuj Pradhan,Independent,Kathmandu-10,9,Declared,♂ Male,Bagmati Province,Kathmandu
Sudip Neupane,Independent,Bhaktapur-1,9,Declared,♂ Male,Bagmati Province,Bhaktapur
Bishal Tamang,Independent,Lalitpur-1,9,Declared,♂ Male,Bagmati Province,Lalitpur
Sarmila Budhathoki,Independent,Lalitpur-1,9,Declared,♀ Female,Bagmati Province,Lalitpur
Dolendra Raj Bhattarai,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Lalitpur-2,9,Declared,♂ Male,Bagmati Province,Lalitpur
Krishna Khadka,Independent,Lalitpur-2,9,Declared,♂ Male,Bagmati Province,Lalitpur
Rajarama Bogati,Independent,Makwanpur-1,9,Declared,♂ Male,Bagmati Province,Makwanpur
Dinesha Ray,Independent,Rautahat-1,9,Declared,♂ Male,Madhesh Province,Rautahat
Bharata Raya Yadav,Independent,Rautahat-3,9,Declared,♂ Male,Madhesh Province,Rautahat
Surendra Baitha,Independent,Rautahat-3,9,Declared,♂ Male,Madhesh Province,Rautahat
Anju Chaudhari,Independent,Rautahat-4,9,Declared,♀ Female,Madhesh Province,Rautahat
Chandra Prakasha Suvedi,Independent,Bara-3,9,Declared,♂ Male,Madhesh Province,Bara
Baidhanatha Prasada Sah,Independent,Bara-4,9,Declared,♂ Male,Madhesh Province,Bara
Kishori Prasad Yadav,Independent,Parsa-2,9,Declared,♂ Male,Madhesh Province,Parsa
Paras Raut Barai,Independent,Parsa-4,9,Declared,♂ Male,Madhesh Province,Parsa
Saurav Kadel,Independent,Chitwan-1,9,Declared,♂ Male,Bagmati Province,Chitwan
Ram Bahadur Ghale,Mongol National Organisation,Manang-1,9,Declared,♂ Male,Gandaki Province,Manang
Sagar Thapa Magar,Independent,Syangja-2,9,Declared,♂ Male,Gandaki Province,Syangja
Lok Bahadur Pun,Independent,Gulmi-2,9,Declared,♂ Male,Lumbini Province,Gulmi
Him Lal Pandey,Nepal Workers and Peasants Party,Rupandehi-1,9,Declared,♂ Male,Lumbini Province,Rupandehi
Shankar Khatri,Independent,Rupandehi-1,9,Declared,♂ Male,Lumbini Province,Rupandehi
Sachina Vi.ka.,Independent,Rupandehi-1,9,Declared,♂ Male,Lumbini Province,Rupandehi
Karam Husein Khan,Independent,Rupandehi-3,9,Declared,♂ Male,Lumbini Province,Rupandehi
Thakur Adhikari,Independent,Rupandehi-3,9,Declared,♂ Male,Lumbini Province,Rupandehi
Basanti Chamar,Independent,Rupandehi-5,9,Declared,♀ Female,Lumbini Province,Rupandehi
Laxman Bahadur Nepal,Independent,Rupandehi-5,9,Declared,♂ Male,Lumbini Province,Rupandehi
Rakesh Kurmi,Independent,Kapilvastu-2,9,Declared,♂ Male,Lumbini Province,Kapilvastu
Krishna Kumar Upadhyay,Independent,Kapilvastu-3,9,Declared,♂ Male,Lumbini Province,Kapilvastu
Thark Bahadur Khangaha,Independent,Kapilvastu-3,9,Declared,♂ Male,Lumbini Province,Kapilvastu
Manish Kumar Kanodiya,Independent,Kapilvastu-3,9,Declared,♂ Male,Lumbini Province,Kapilvastu
Ajay B.K.,आम जनता पार्टी(एकल चुनाव चिन्ह),Mustang-1,9,Declared,♂ Male,Gandaki Province,Mustang
Rekh Bahadur Pun Magar,Miteri Party Nepal,Dang-2,9,Declared,♂ Male,Lumbini Province,Dang
Kalpana Lama,Independent,Dang-2,9,Declared,♀ Female,Lumbini Province,Dang
Balaram Paudel,Independent,Dang-2,9,Declared,♂ Male,Lumbini Province,Dang
Kaman Budha Magar,Mongol National Organisation,Jajarkot-1,9,Declared,♂ Male,Karnali Province,Jajarkot
Shyan Kumar Mudiyari,Independent,Sunsari-3,8,Declared,♂ Male,Koshi Province,Sunsari
Suman Kumari Chaudhary,Independent,Sunsari-3,8,Declared,♀ Female,Koshi Province,Sunsari
Ram Kumari Khang,Independent,Saptari-1,8,Declared,♀ Female,Madhesh Province,Saptari
Pabhu Narayan Chaudhary,Independent,Saptari-3,8,Declared,♂ Male,Madhesh Province,Saptari
Durga Prasad Yadav,Independent,Saptari-4,8,Declared,♂ Male,Madhesh Province,Saptari
Ram Ganesh Yadav,Independent,Siraha-2,8,Declared,♂ Male,Madhesh Province,Siraha
Navina Kumara Yadav,Independent,Siraha-3,8,Declared,♂ Male,Madhesh Province,Siraha
Bablu Kumar Yadav,Independent,Siraha-3,8,Declared,♂ Male,Madhesh Province,Siraha
Puskara Kumara Adhikari,Independent,Dolakha-1,8,Declared,♂ Male,Bagmati Province,Dolakha
Mahendra Khadka,Independent,Dolakha-1,8,Declared,♂ Male,Bagmati Province,Dolakha
Jitana Raya Amat,Independent,Dhanusha-1,8,Declared,♂ Male,Madhesh Province,Dhanusha
Mukesha Kumara Yadav,Independent,Dhanusha-2,8,Declared,♂ Male,Madhesh Province,Dhanusha
Krishna Kumara Sultaniya,Independent,Dhanusha-3,8,Declared,♂ Male,Madhesh Province,Dhanusha
Narayana Vastola,Independent,Dhanusha-4,8,Declared,♂ Male,Madhesh Province,Dhanusha
Raja Kumara Mah‍to,Independent,Dhanusha-4,8,Declared,♂ Male,Madhesh Province,Dhanusha
Jivendra Yadav,Independent,Mahottari-2,8,Declared,♂ Male,Madhesh Province,Mahottari
Mahesh Kumar Yadav,Independent,Mahottari-2,8,Declared,♂ Male,Madhesh Province,Mahottari
Ganga Prasad Yadav,Independent,Mahottari-4,8,Declared,♂ Male,Madhesh Province,Mahottari
Rijbana Khatun,Independent,Mahottari-4,8,Declared,♀ Female,Madhesh Province,Mahottari
Satyanarayan Mahara,Independent,Mahottari-4,8,Declared,♂ Male,Madhesh Province,Mahottari
Ramparikshan Yadav,Independent,Sarlahi-1,8,Declared,♂ Male,Madhesh Province,Sarlahi
Manoj Kumar Yadav,Independent,Sarlahi-2,8,Declared,♂ Male,Madhesh Province,Sarlahi
Santosh Kumar Nisad,Independent,Sarlahi-4,8,Declared,♂ Male,Madhesh Province,Sarlahi
Krishna Prasad Koirala,Independent,Dhading-2,8,Declared,♂ Male,Bagmati Province,Dhading
Narvada Kumari Bhattarai,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kathmandu-2,8,Declared,♀ Female,Bagmati Province,Kathmandu
Biswas Basnet,Independent,Kathmandu-2,8,Declared,♂ Male,Bagmati Province,Kathmandu
Birendra Kumar Sah,Independent,Kathmandu-2,8,Declared,♂ Male,Bagmati Province,Kathmandu
Manoj Adhikari,Independent,Kathmandu-4,8,Declared,♂ Male,Bagmati Province,Kathmandu
Safalta Bogati,आम जनता पार्टी(एकल चुनाव चिन्ह),Kathmandu-6,8,Declared,♀ Female,Bagmati Province,Kathmandu
Baikuntha Phuyal,Jai Matribhumi Party,Kathmandu-7,8,Declared,♂ Male,Bagmati Province,Kathmandu
Dipin Panta,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kathmandu-7,8,Declared,♂ Male,Bagmati Province,Kathmandu
Resham Bahadur Sunar,United Citizens Party,Kathmandu-8,8,Declared,♂ Male,Bagmati Province,Kathmandu
Vijaya Dangol,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Kathmandu-8,8,Declared,♂ Male,Bagmati Province,Kathmandu
Mukti Nath Sharma,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kathmandu-8,8,Declared,♂ Male,Bagmati Province,Kathmandu
Ranavira Kshetri Sinh,Janata Samajwadi Party Nepal,Kathmandu-9,8,Declared,♂ Male,Bagmati Province,Kathmandu
Bhagarit  Sah,Janata Samajwadi Party Nepal,Kathmandu-10,8,Declared,♂ Male,Bagmati Province,Kathmandu
Manoj Lama,Independent,Bhaktapur-2,8,Declared,♂ Male,Bagmati Province,Bhaktapur
Savina Mahat,Independent,Bhaktapur-2,8,Declared,♂ Male,Bagmati Province,Bhaktapur
Survana Thapa,Independent,Bhaktapur-2,8,Declared,♂ Male,Bagmati Province,Bhaktapur
Radhe Shyam Khadka,Independent,Lalitpur-3,8,Declared,♂ Male,Bagmati Province,Lalitpur
Lenina Vish‍ta,Independent,Kavrepalanchok-2,8,Declared,♂ Male,Bagmati Province,Kavrepalanchok
Amar Dangal,Independent,Makwanpur-1,8,Declared,♂ Male,Bagmati Province,Makwanpur
Sushila Subedi,Independent,Makwanpur-1,8,Declared,♀ Female,Bagmati Province,Makwanpur
Raju Kumara Mukhiya,Independent,Rautahat-1,8,Declared,♂ Male,Madhesh Province,Rautahat
Shekha Mustak,Independent,Rautahat-2,8,Declared,♂ Male,Madhesh Province,Rautahat
Prema Kumari Tripathi,Independent,Rautahat-4,8,Declared,♀ Female,Madhesh Province,Rautahat
Mukti Narayana Chaudhari,Independent,Rautahat-4,8,Declared,♂ Male,Madhesh Province,Rautahat
Roshana Kumara Upreti,Independent,Bara-1,8,Declared,♂ Male,Madhesh Province,Bara
Dinesha Prasada Yadav,Independent,Bara-2,8,Declared,♂ Male,Madhesh Province,Bara
Murali Manohara Prasada Sah,Independent,Bara-2,8,Declared,♂ Male,Madhesh Province,Bara
Dipaka Sinha Chaudhari,Independent,Bara-4,8,Declared,♂ Male,Madhesh Province,Bara
Nasima Khatun,Independent,Bara-4,8,Declared,♀ Female,Madhesh Province,Bara
Sham‍bhu Prasada Yadav,Independent,Bara-4,8,Declared,♂ Male,Madhesh Province,Bara
Shahid Ansari,Independent,Parsa-3,8,Declared,♂ Male,Madhesh Province,Parsa
Uma Devi,Independent,Parsa-4,8,Declared,♀ Female,Madhesh Province,Parsa
Badri Lakshmi Kavan,Nepal Workers and Peasants Party,Chitwan-3,8,Declared,♀ Female,Bagmati Province,Chitwan
Yudha Bahadur Birkatta,Independent,Palpa-1,8,Declared,♂ Male,Lumbini Province,Palpa
Sashila Devakota,Independent,Nawalpur-2,8,Declared,♀ Female,Gandaki Province,Nawalpur
Tejindra Malla,Independent,Rupandehi-3,8,Declared,♂ Male,Lumbini Province,Rupandehi
Dhan Bahadur Basnet,Independent,Rupandehi-3,8,Declared,♂ Male,Lumbini Province,Rupandehi
Shashikala Pandey,Independent,Rupandehi-4,8,Declared,♀ Female,Lumbini Province,Rupandehi
Buddhi Nath Pokharel,Independent,Kapilvastu-1,8,Declared,♂ Male,Lumbini Province,Kapilvastu
Surya Prasad Baral,Independent,Kapilvastu-1,8,Declared,♂ Male,Lumbini Province,Kapilvastu
Mina Paudel (Sharma),Independent,Parbat-1,8,Declared,♀ Female,Gandaki Province,Parbat
Sita Devi Sharma,Independent,Parbat-1,8,Declared,♀ Female,Gandaki Province,Parbat
Pandavi Nepali,आम जनता पार्टी(एकल चुनाव चिन्ह),Dang-3,8,Declared,♀ Female,Lumbini Province,Dang
Mahesh Dangi,Independent,Dang-3,8,Declared,♂ Male,Lumbini Province,Dang
Padam Bahadur Gharti Magar,Independent,Banke-3,8,Declared,♂ Male,Lumbini Province,Banke
Sanam Kumari Chaudhary,Independent,Saptari-4,7,Declared,♀ Female,Madhesh Province,Saptari
Sunil Kumar Yadav,Independent,Saptari-4,7,Declared,♂ Male,Madhesh Province,Saptari
Ashish Lal Das,Independent,Siraha-1,7,Declared,♂ Male,Madhesh Province,Siraha
Gugai Mandal,Independent,Siraha-1,7,Declared,♂ Male,Madhesh Province,Siraha
Uday Kumar Magar,Independent,Siraha-2,7,Declared,♂ Male,Madhesh Province,Siraha
Ankit Kumar Yadav,Independent,Siraha-3,7,Declared,♂ Male,Madhesh Province,Siraha
Dushyant Kumar Karna,Independent,Siraha-3,7,Declared,♂ Male,Madhesh Province,Siraha
Ram Vriksh Mehra,Independent,Siraha-4,7,Declared,♂ Male,Madhesh Province,Siraha
Bharata Kumara Shreshth,Independent,Dolakha-1,7,Declared,♂ Male,Bagmati Province,Dolakha
Ramakaji Lama,Independent,Dolakha-1,7,Declared,♂ Male,Bagmati Province,Dolakha
Auti Kumari Vishvakarma,Independent,Dhanusha-1,7,Declared,♀ Female,Madhesh Province,Dhanusha
Bala Krishna Yadav,Independent,Dhanusha-1,7,Declared,♂ Male,Madhesh Province,Dhanusha
Ramaprita Dasa Tatma,Independent,Dhanusha-1,7,Declared,♂ Male,Madhesh Province,Dhanusha
Vijaya Kumara Yadab,Independent,Dhanusha-1,7,Declared,♂ Male,Madhesh Province,Dhanusha
Sudisha Mandal,Independent,Dhanusha-1,7,Declared,♂ Male,Madhesh Province,Dhanusha
Rama Subhesha Mandala Khatve,Independent,Dhanusha-2,7,Declared,♂ Male,Madhesh Province,Dhanusha
Ajaya Kumara Yadav,Independent,Dhanusha-3,7,Declared,♂ Male,Madhesh Province,Dhanusha
Mukesha Yadav,Independent,Dhanusha-3,7,Declared,♂ Male,Madhesh Province,Dhanusha
Hari Shankara Prasada Yadav,Independent,Dhanusha-4,7,Declared,♂ Male,Madhesh Province,Dhanusha
Dilip Kumar Yadav,Independent,Mahottari-2,7,Declared,♂ Male,Madhesh Province,Mahottari
Prabin Kumar Yadav,Independent,Mahottari-2,7,Declared,♂ Male,Madhesh Province,Mahottari
Mahanth Sada,Independent,Mahottari-2,7,Declared,♂ Male,Madhesh Province,Mahottari
Ajay Kumar Mahato,Independent,Mahottari-3,7,Declared,♂ Male,Madhesh Province,Mahottari
Pawan Kumar Yadav,Independent,Mahottari-3,7,Declared,♂ Male,Madhesh Province,Mahottari
Rajendra Mandal Khatbe,Independent,Mahottari-4,7,Declared,♂ Male,Madhesh Province,Mahottari
Singheshwar Khatbe,Independent,Mahottari-4,7,Declared,♂ Male,Madhesh Province,Mahottari
Madho Paswan Dusad,Independent,Sarlahi-1,7,Declared,♂ Male,Madhesh Province,Sarlahi
Ram Nath Sah,Independent,Sarlahi-2,7,Declared,♂ Male,Madhesh Province,Sarlahi
Sandip Thapa,Independent,Sarlahi-3,7,Declared,♂ Male,Madhesh Province,Sarlahi
Amit Ranjan Singh,Independent,Sarlahi-4,7,Declared,♂ Male,Madhesh Province,Sarlahi
Chun Chun Bhandari,Independent,Sarlahi-4,7,Declared,♂ Male,Madhesh Province,Sarlahi
Madhumala Kumari Yadav,Independent,Sarlahi-4,7,Declared,♀ Female,Madhesh Province,Sarlahi
Shiva Prasad Sah,Independent,Sarlahi-4,7,Declared,♂ Male,Madhesh Province,Sarlahi
Ujwal Shrestha,Independent,Dhading-2,7,Declared,♂ Male,Bagmati Province,Dhading
Shambhu Pokharel,Independent,Kathmandu-1,7,Declared,♂ Male,Bagmati Province,Kathmandu
Rupak Sinkhada,Independent,Kathmandu-2,7,Declared,♂ Male,Bagmati Province,Kathmandu
Ram Krishna Pujari,Independent,Kathmandu-3,7,Declared,♂ Male,Bagmati Province,Kathmandu
Muskan Paudel,युनाईटेड नेपाल डिमोक्रयाटीक पार्टी,Kathmandu-4,7,Declared,♂ Male,Bagmati Province,Kathmandu
Chet Bahadur Ale,Rastriya Janamukti Party,Kathmandu-4,7,Declared,♂ Male,Bagmati Province,Kathmandu
Saroj Thapaliya,Independent,Kathmandu-6,7,Declared,♂ Male,Bagmati Province,Kathmandu
Anjala Bajracharya,Independent,Kathmandu-7,7,Declared,♀ Female,Bagmati Province,Kathmandu
Prakash Kunwar,Independent,Kathmandu-7,7,Declared,♂ Male,Bagmati Province,Kathmandu
Bikash Khadgi,Independent,Kathmandu-8,7,Declared,♂ Male,Bagmati Province,Kathmandu
Krishna Kumari Nepali,Independent,Kathmandu-10,7,Declared,♀ Female,Bagmati Province,Kathmandu
Bishnu Ram Dumaru,Independent,Bhaktapur-1,7,Declared,♂ Male,Bagmati Province,Bhaktapur
Rakesh Shrestha,Trimul Nepal,Bhaktapur-2,7,Declared,♂ Male,Bagmati Province,Bhaktapur
Rabindra Amatya,Independent,Lalitpur-2,7,Declared,♂ Male,Bagmati Province,Lalitpur
Yuvaraja Chaulagaee,Independent,Kavrepalanchok-1,7,Declared,♂ Male,Bagmati Province,Kavrepalanchok
Krishna Ram Shrestha,Independent,Makwanpur-2,7,Declared,♂ Male,Bagmati Province,Makwanpur
Mrinala Kumara Shah,Independent,Rautahat-1,7,Declared,♂ Male,Madhesh Province,Rautahat
Rama Sevaka Ray,Independent,Rautahat-1,7,Declared,♂ Male,Madhesh Province,Rautahat
Umesha Dahal,Independent,Rautahat-4,7,Declared,♂ Male,Madhesh Province,Rautahat
Lakshminiya Chaudhari,Independent,Rautahat-4,7,Declared,♀ Female,Madhesh Province,Rautahat
Sujita Kumari Gautam,Independent,Rautahat-4,7,Declared,♀ Female,Madhesh Province,Rautahat
Lala Mukesha Thakur,Independent,Bara-3,7,Declared,♂ Male,Madhesh Province,Bara
Manoj Sah Kanu,Independent,Parsa-2,7,Declared,♂ Male,Madhesh Province,Parsa
Rambahadur Barai,Independent,Parsa-3,7,Declared,♂ Male,Madhesh Province,Parsa
Vrija Kishora Prasada Chaurasiya,Independent,Parsa-3,7,Declared,♂ Male,Madhesh Province,Parsa
Thaman Singh Sunar,Janata Samajwadi Party Nepal,Chitwan-3,7,Declared,♂ Male,Bagmati Province,Chitwan
Parvati Paudel (Kafle),Independent,Chitwan-3,7,Declared,♀ Female,Bagmati Province,Chitwan
Malata Ghimire,Independent,Gulmi-2,7,Declared,♀ Female,Lumbini Province,Gulmi
Avinasa Sunar,Independent,Nawalpur-1,7,Declared,♂ Male,Gandaki Province,Nawalpur
Maheshwar Bhandari,Independent,Rupandehi-1,7,Declared,♂ Male,Lumbini Province,Rupandehi
Maksud Ali,Independent,Rupandehi-1,7,Declared,♂ Male,Lumbini Province,Rupandehi
Sagar Adhikari,Independent,Rupandehi-1,7,Declared,♂ Male,Lumbini Province,Rupandehi
Bishnu Bahadur Rana,Independent,Rupandehi-3,7,Declared,♂ Male,Lumbini Province,Rupandehi
Tara Prasad Adhikari,Independent,Kapilvastu-2,7,Declared,♂ Male,Lumbini Province,Kapilvastu
Pankaj Kumar Chaudhary,Independent,Kapilvastu-3,7,Declared,♂ Male,Lumbini Province,Kapilvastu
Ram Nivas Nau,Independent,Kapilvastu-3,7,Declared,♂ Male,Lumbini Province,Kapilvastu
Ailina Suwal,Nepal Workers and Peasants Party,Parbat-1,7,Declared,♀ Female,Gandaki Province,Parbat
Krishna Bahadur Sunar,आम जनता पार्टी(एकल चुनाव चिन्ह),Dang-2,7,Declared,♂ Male,Lumbini Province,Dang
Lal Bahadur Khatri,Independent,Dang-2,7,Declared,♂ Male,Lumbini Province,Dang
Prema Vahadura Vali,Independent,Dang-3,7,Declared,♂ Male,Lumbini Province,Dang
Man Bahadur Tiruwa,Independent,Kalikot-1,7,Declared,♂ Male,Karnali Province,Kalikot
Hridayendra Adhikari,Nepal Janasewa Party,Surkhet-2,7,Declared,♂ Male,Karnali Province,Surkhet
Chet Bahadur Oli,Independent,Banke-3,7,Declared,♂ Male,Lumbini Province,Banke
Ganga Devi Tharu Mahato,Independent,Parasi-1,7,Declared,♀ Female,Lumbini Province,Parasi
Shailendra Sinha Sadasankar,Independent,Parasi-1,7,Declared,♂ Male,Lumbini Province,Parasi
Lala Bahadura Kuvar,Independent,Parasi-2,7,Declared,♂ Male,Lumbini Province,Parasi
Ramesh Kumar Karki,Independent,Jhapa-2,6,Declared,♂ Male,Koshi Province,Jhapa
Matrika Bhattarai,Independent,Jhapa-5,6,Declared,♂ Male,Koshi Province,Jhapa
Dambar Bahadur Baraili,Independent,Sunsari-2,6,Declared,♂ Male,Koshi Province,Sunsari
Bhim Bahadur Dahal,Independent,Sunsari-2,6,Declared,♂ Male,Koshi Province,Sunsari
Keshar Prasad Sah,Independent,Saptari-4,6,Declared,♂ Male,Madhesh Province,Saptari
Raj Kumar Chaudhary,Independent,Siraha-2,6,Declared,♂ Male,Madhesh Province,Siraha
Aananda Vishvakarma,Independent,Siraha-3,6,Declared,♂ Male,Madhesh Province,Siraha
Surya Dev Yadav,Independent,Siraha-3,6,Declared,♂ Male,Madhesh Province,Siraha
Se. Jahur,Independent,Siraha-3,6,Declared,♂ Male,Madhesh Province,Siraha
Vindeshvara Mahato,Independent,Siraha-4,6,Declared,♂ Male,Madhesh Province,Siraha
Manamohana Prasada Yadav,Independent,Dhanusha-1,6,Declared,♂ Male,Madhesh Province,Dhanusha
Ramesh‍vara Sahu Sudi,Independent,Dhanusha-1,6,Declared,♂ Male,Madhesh Province,Dhanusha
Bhola Pasavan,Independent,Dhanusha-2,6,Declared,♂ Male,Madhesh Province,Dhanusha
Bikrama Saha,Independent,Dhanusha-3,6,Declared,♂ Male,Madhesh Province,Dhanusha
Bharata Kumara Sah,Independent,Dhanusha-3,6,Declared,♂ Male,Madhesh Province,Dhanusha
Raja Kumara Bhandari,Independent,Dhanusha-3,6,Declared,♂ Male,Madhesh Province,Dhanusha
Sunila Sah,Independent,Dhanusha-3,6,Declared,♂ Male,Madhesh Province,Dhanusha
Hari Narayana Yadav,Independent,Dhanusha-3,6,Declared,♂ Male,Madhesh Province,Dhanusha
Mithilesha Kumara Yadav,Independent,Dhanusha-4,6,Declared,♂ Male,Madhesh Province,Dhanusha
Rajesha Kumara Yadav,Independent,Dhanusha-4,6,Declared,♂ Male,Madhesh Province,Dhanusha
Bijay Kumar Mandal,Independent,Mahottari-3,6,Declared,♂ Male,Madhesh Province,Mahottari
Mahindar Pasman,Independent,Mahottari-4,6,Declared,♂ Male,Madhesh Province,Mahottari
Shanti Devi,Independent,Mahottari-4,6,Declared,♀ Female,Madhesh Province,Mahottari
Hardev Mahara Chamar,Independent,Mahottari-4,6,Declared,♂ Male,Madhesh Province,Mahottari
Bharat Chaudhary,Independent,Sarlahi-1,6,Declared,♂ Male,Madhesh Province,Sarlahi
Pramod Kumar Sah,Independent,Sarlahi-3,6,Declared,♂ Male,Madhesh Province,Sarlahi
Laxmi Kumari Adhikari,Independent,Sarlahi-3,6,Declared,♀ Female,Madhesh Province,Sarlahi
Vibeka Silaval,Miteri Party Nepal,Nuwakot-1,6,Declared,♂ Male,Bagmati Province,Nuwakot
Tirtha Raj Paudel,Independent,Kathmandu-2,6,Declared,♂ Male,Bagmati Province,Kathmandu
Shreeram Gurung,Mongol National Organisation,Kathmandu-5,6,Declared,♀ Female,Bagmati Province,Kathmandu
Ramesh Tamang,Trimul Nepal,Kathmandu-5,6,Declared,♂ Male,Bagmati Province,Kathmandu
Dhak Bahadur Karki,Independent,Kathmandu-5,6,Declared,♂ Male,Bagmati Province,Kathmandu
Uddav Prasad Mishra,प्रजातान्त्रिक पार्टी नेपाल,Kathmandu-6,6,Declared,♂ Male,Bagmati Province,Kathmandu
Bala Bahadura Ke.si,Independent,Kathmandu-6,6,Declared,♂ Male,Bagmati Province,Kathmandu
Dharmaraj Gurung,Mongol National Organisation,Kathmandu-9,6,Declared,♂ Male,Bagmati Province,Kathmandu
Mdan Dangol,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kathmandu-9,6,Declared,♂ Male,Bagmati Province,Kathmandu
Juddha Bahadur Karki,Independent,Kathmandu-9,6,Declared,♂ Male,Bagmati Province,Kathmandu
Hari Prasad Ghimire,Independent,Kathmandu-9,6,Declared,♂ Male,Bagmati Province,Kathmandu
Kumar Khaki Shrestha,Independent,Kathmandu-10,6,Declared,♂ Male,Bagmati Province,Kathmandu
Sulochana Pariyar,Independent,Kathmandu-10,6,Declared,♀ Female,Bagmati Province,Kathmandu
Punya Ram Suwal,Independent,Bhaktapur-1,6,Declared,♂ Male,Bagmati Province,Bhaktapur
Dal Nath Timalsena,Independent,Lalitpur-1,6,Declared,♂ Male,Bagmati Province,Lalitpur
Mo. Phiroja Akhtar,Independent,Rautahat-2,6,Declared,♂ Male,Madhesh Province,Rautahat
