candidate,party,constituency,votes,result,sex,province,district
Bikram Timilsina,Rastriya Swatantra Party,Nuwakot-1,"22,609",Winner 🏆,♂ Male,Bagmati Province,Nuwakot
Suhanga Nembang,CPN (Unified Marxist-Leninist),Ilam-2,"22,426",Winner 🏆,♂ Male,Koshi Province,Ilam
Hari Mohan Bhandari,Rastriya Swatantra Party,Baitadi-1,"22,134",Winner 🏆,♂ Male,Sudurpashchim Province,Baitadi
Yuvaraja Dulal,Nepali Communist Party,Sindhupalchok-2,"21,699",Winner 🏆,♂ Male,Bagmati Province,Sindhupalchok
Gopala Sharma,Nepali Communist Party,Rukum West-1,"21,609",Winner 🏆,♂ Male,Karnali Province,Rukum West
Surendra Raj Acharya,Nepali Congress,Kapilvastu-2,"21,527",Declared,♂ Male,Lumbini Province,Kapilvastu
Sushil Khadka,Rastriya Swatantra Party,Baglung-1,"20,927",Winner 🏆,♂ Male,Gandaki Province,Baglung
Lalit Kumar Chanda,Rastriya Swatantra Party,Salyan-1,"20,904",Declared,♂ Male,Karnali Province,Salyan
Bhagwat Prakash Malla,Nepali Congress,Syangja-2,"20,830",Declared,♂ Male,Gandaki Province,Syangja
Renu Dahal,Nepali Communist Party,Chitwan-3,"20,615",Declared,♀ Female,Bagmati Province,Chitwan
Vijaya Kumara Gach‍chhadar,Nepali Congress,Sunsari-3,"20,501",Declared,♂ Male,Koshi Province,Sunsari
Brijesh Kumar Gupta,Nepali Communist Party,Kapilvastu-2,"20,482",Declared,♂ Male,Lumbini Province,Kapilvastu
Kishor Singh Rathore,Nepali Congress,Bardiya-2,"20,402",Declared,♂ Male,Lumbini Province,Bardiya
Jagat Prasad Joshi,Rastriya Swatantra Party,Kailali-3,"20,359",Winner 🏆,♂ Male,Sudurpashchim Province,Kailali
Ramesh Prasad Dhamala,Nepali Congress,Dhading-2,"20,279",Declared,♂ Male,Bagmati Province,Dhading
Pramod Kumar Yadav,CPN (Unified Marxist-Leninist),Rupandehi-4,"20,262",Declared,♂ Male,Lumbini Province,Rupandehi
Khadak Bahadur Budha,Nepali Congress,Jajarkot-1,"20,142",Winner 🏆,♂ Male,Karnali Province,Jajarkot
Suman Malla,CPN (Unified Marxist-Leninist),Banke-3,"19,615",Declared,♂ Male,Lumbini Province,Banke
Suresh Pantha,Nepali Communist Party,Bardiya-2,"19,180",Declared,♂ Male,Lumbini Province,Bardiya
Gunaraja Muktan,Nepali Congress,Kavrepalanchok-1,"19,166",Declared,♂ Male,Bagmati Province,Kavrepalanchok
Vanshalala Tamang,Nepali Congress,Sindhupalchok-2,"19,146",Declared,♂ Male,Bagmati Province,Sindhupalchok
Tara Prasad Joshi,Rastriya Swatantra Party,Dadeldhura-1,"19,131",Winner 🏆,♂ Male,Sudurpashchim Province,Dadeldhura
Ke Pi Khanal,Rastriya Swatantra Party,Kailali-2,"19,057",Winner 🏆,♂ Male,Sudurpashchim Province,Kailali
Bishnu Prasad Khanal,Nepali Congress,Arghakhanchi-1,"18,983",Declared,♂ Male,Lumbini Province,Arghakhanchi
