province,district,districtNp,code,name,nameNp,status,lastUpdated,votesCast,totalVoters
Madhesh,Rautahat,रौतहट,2-रौतहट-1,Rautahat-1,रौतहट क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,66053,108712
Madhesh,Rautahat,रौतहट,2-रौतहट-2,Rautahat-2,रौतहट क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,66144,108862
Madhesh,Rautahat,रौतहट,2-रौतहट-3,Rautahat-3,रौतहट क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,67671,108692
Madhesh,Rautahat,रौतहट,2-रौतहट-4,Rautahat-4,रौतहट क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,69668,110307
Madhesh,Bara,बारा,2-बारा-1,Bara-1,बारा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,75285,123964
Madhesh,Bara,बारा,2-बारा-2,Bara-2,बारा क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,72761,113833
Madhesh,Bara,बारा,2-बारा-3,Bara-3,बारा क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,71205,113510
Madhesh,Bara,बारा,2-बारा-4,Bara-4,बारा क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,74637,114431
Madhesh,Parsa,पर्सा,2-पर्सा-1,Parsa-1,पर्सा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,57225,89608
Madhesh,Parsa,पर्सा,2-पर्सा-2,Parsa-2,पर्सा क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,61310,95112
Madhesh,Parsa,पर्सा,2-पर्सा-3,Parsa-3,पर्सा क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,62383,96529
Madhesh,Parsa,पर्सा,2-पर्सा-4,Parsa-4,पर्सा क्षेत्र नं. 4,DECLARED,2026-06-30T21:28:05.771Z,61848,95197
Bagmati,Chitwan,चितवन,3-चितवन-1,Chitwan-1,चितवन क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,91899,149616
Bagmati,Chitwan,चितवन,3-चितवन-2,Chitwan-2,चितवन क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,84232,137150
Bagmati,Chitwan,चितवन,3-चितवन-3,Chitwan-3,चितवन क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,96658,155289
